word,frequency
eight,433401
woman,433293
capital,433260
soviet,433032
usually,432819
governor,431616
brown,431451
historical,430218
base,429428
ten,428230
hockey,428192
rugby,427981
natural,427840
blue,427302
involved,426966
units,426459
via,426157
regional,425675
refer,425415
attack,424978
replaced,424860
scored,424598
above,423878
thus,422859
characters,422616
sent,422489
able,422306
post,422211
empire,422196
reading,422149
mark,422022
review,421718
lower,421025
added,420597
trade,419836
operations,419686
close,419495
author,418897
mount,418706
either,418227
writing,418002
least,417154
degree,415503
previously,414688
commission,413014
stated,412659
child,412206
bill,411678
staff,411635
ship,411287
native,411132
seasons,410690
sources,410365
wales,408415
producer,408273
future,407199
missing,406231
van,406123
irish,405606
economic,405557
ground,405520
selected,405107
municipality,404216
market,404125
foundation,403769
provided,402876
singer,400383
register,400234
real,398678
drama,397802
cross,397355
islands,396837
food,396804
regular,396396
additional,395909
beginning,395125
rather,394313
channel,393089
mountain,392714
plays,392681
sir,391928
outside,391790
youth,391613
active,390760
energy,390308
reached,390072
unit,390023
parts,389934
executive,387539
greek,387118
democratic,386660
soon,386522
placed,385983
security,385601
families,385594
airport,384834
behind,384509
almost,384224
captain,384167
contract,383622
prior,383284
goal,382908
personnel,382342
higher,382081
rural,381485
whose,381265
manager,380713
report,380291
standard,380261
engineering,380211
structure,379791
queen,379629
limited,379359
saw,379231
individual,377469
cultural,377030
start,376578
ice,376109
operation,375434
expatriate,374916
secretary,374829
ships,373980
defeated,373656
elections,373506
provide,373375
decided,372788
footballer,372244
success,372163
attended,371218
student,370484
genus,370450
date,370099
interest,369686
winning,369329
too,368705
command,367859
person,367705
put,367288
square,366339
sometimes,366146
master,366070
our,365663
money,364282
come,364139
traditional,363855
annual,363726
plant,363582
possible,363323
below,363062
administration,362320
sound,362028
initially,360920
size,360669
approximately,360053
journal,359718
martin,359061
successful,358825
location,358771
runs,358696
brought,358633
saint,358548
biography,358471
lord,358184
commercial,357516
low,356717
taking,356682
prize,356138
matches,355773
politicians,355761
towards,355103
closed,354093
overall,354007
dutch,353615
represented,353610
online,352456
prince,351756
cases,351667
policy,351627
congress,350881
faculty,350193
winter,350068
silver,349808
justice,349779
far,349575
especially,349051
significant,349048
houses,349011
complete,348318
course,348232
religious,348101
peak,348024
changed,347320
plan,346945
hit,346587
cities,346462
property,346385
regiment,345392
goals,345362
related,345048
associated,344933
launched,344598
gallery,344586
legal,344484
victory,344162
stadium,343793
issues,343590
bishop,342827
strong,342175
allowed,341758
ended,341408
test,341250
financial,340570
here,340478
practice,340201
assistant,339722
past,339564
shot,339555
generally,339260
loss,339085
lee,337743
theory,337521
opening,337482
access,336744
prime,336202
highway,336182
running,336178
transport,335579
owned,335359
met,335242
louis,335102
junior,334716
names,334688
decision,334676
whom,334586
recording,334513
jersey,333965
forest,332494
stone,332231
lines,331734
itself,331617
nations,330894
activities,330776
multiple,330519
ever,330125
chart,330055
tracks,329991
champion,329578
issue,328894
villages,328367
movie,328161
mission,328093
means,327563
earlier,327168
sportspeople,326769
actress,326394
township,325337
article,325244
digital,324610
required,324432
ancient,324197
source,324093
literature,323479
feature,323305
key,322651
spent,322383
god,321164
minor,321110
corps,321086
dance,321058
find,321026
contains,321022
castle,320792
port,320707
comedy,320463
officers,319910
clubs,319704
noted,319326
appearance,319138
programs,318796
uses,318252
nature,318049
actors,318049
better,317944
heart,317856
winners,317842
score,317521
lived,317188
fort,317142
winner,316523
changes,316248
room,315603
sister,315098
engine,315036
pacific,314707
complex,314685
numerous,314656
cover,313482
move,313380
